Acinetobacter	Aeromonas	Bacillus	Bacteroides	Bartonella	Bordetella	Borrelia	Brucella	Burkholderia	Campylobacter	Chlamydia	Clostridium	Corynebacterium	Coxiella	Enterobacter	Enterococcus	Escherichia	Francisellacf	Fusobacterium	Haemophilus	Helicobacter	Klebsiella	Kyrpidia	Legionella	Leptospira	Listeria	Mycobacterium	Mycoplasma	Neisseria	Pseudomonas	Rickettsia	Salmonella	Serratia	Shigella	Staphylococcus	Streptococcus	Vibrio	Yersinia	Group
HHa1BRWINT	3.72416361492148e-05	0	0.000310346967910123	0	0	3.72416361492148e-05	0	0	0	0	0	0.0346471354974862	0.00186208180746074	0	8.68971510148346e-05	6.20693935820247e-05	6.20693935820247e-05	0	0	0.000186208180746074	0	0	0	0	0	0	0.000496555148656198	0	7.44832722984296e-05	0.000471727391223388	0	1.24138787164049e-05	0	0	0.000695177208118677	0.00216001489665446	0.000310346967910123	0	Human Settlements
HHa1KCWINT	0.000124923874513968	1.5615484314246e-05	0.000983775511797498	0	0	0	0	0	0	0	0	0.00751104795515233	0.000359156139227658	0	0.000203001296085198	0	4.6846452942738e-05	0	4.6846452942738e-05	1.5615484314246e-05	0	0	0	0	0	0	0.000609003888255594	0	1.5615484314246e-05	7.807742157123e-05	0	1.5615484314246e-05	0	0	0.00273270975499305	0.000124923874513968	0.000562157435312856	0	Human Settlements
HHa1LRWINT	0.000368338792047864	0	0.000228967357218943	0	0	9.95510248778011e-06	0	0	0	0	0	0.00464903286179331	0.000238922459706723	0	0.000477844919413445	0	0.000756587789071289	0	0	6.96857174144608e-05	0	0	0	0	0	9.95510248778011e-06	0.000557485739315686	0	2.98653074633403e-05	0.000228967357218943	0	0	0	0	0.00118465719604583	0.000238922459706723	0.000607261251754587	0	Human Settlements
HHa1TLWINT	0.000657577119645741	8.32376100817393e-06	0.000307979157302436	8.32376100817393e-06	0	0.000166475220163479	0	0.000124856415122609	0	0	0	0.105978125156071	0.000857347383841915	0	0.000349597962343305	0	0.000124856415122609	0	0	0	0	0	0	0	0	2.49712830245218e-05	0.0030964390950407	0	0.000183122742179827	0.000258036591253392	0	0	0	0	0.00132347800029966	0.000582663270572175	0.000366245484359653	0	Human Settlements
HHb1BRWINT	0.000561284427620415	0	0.000535178175172954	0	0	1.30531262237306e-05	0	0	0	0	0	0.00526040986816343	0.000535178175172954	0	0.000352434408040726	0	0.000274115650698342	0	1.30531262237306e-05	0.000143584388461036	0	0	0	1.30531262237306e-05	0	0	0.00147500326328156	0	2.61062524474612e-05	0.000143584388461036	0	3.91593786711917e-05	0	0	0.00267589087586477	0.000809293825871296	0.000248009398250881	0	Human Settlements
HHb1KCWINT	0.00046093227269348	8.92126979406736e-05	0.00190320422273437	0.000297375659802245	0	0.000118950263920898	0	2.97375659802245e-05	0	0	0	0.015760909969519	0.000758307932495725	0	0.000654226451564939	0	0.00104081480930786	0	0	2.97375659802245e-05	0	0	0	0	0	1.48687829901123e-05	0.00126384655415954	0	0	0.000505538621663817	0	0.000237900527841796	0	0	0.00126384655415954	0.000550144970634154	0.000104081480930786	0	Human Settlements
HHb1LRWINT	0.000129187839118078	7.17710217322654e-05	0.000157896247810984	0	0	1.43542043464531e-05	0	0	5.74168173858123e-05	1.43542043464531e-05	0	0.00832543852094278	0.000674647604283295	0	0.00074641862601556	0	0.000157896247810984	0	0	0	0	0	0	0	0	0	0.00156460827376339	0	0	0.000200958860850343	0	0	0	0	0.00134929520856659	0.000358855108661327	5.74168173858123e-05	1.43542043464531e-05	Human Settlements
HHb1TLWINT	0.00110003776249035	8.20923703351011e-05	0.000886597599619091	0	0	6.56738962680808e-05	0	0.000139557029569672	1.64184740670202e-05	8.20923703351011e-06	0	0.0056890012642225	0.001625428932635	0	0.00080450522928399	1.64184740670202e-05	0.000697785147848359	0	2.46277111005303e-05	0.000656738962680808	0	0	0	2.46277111005303e-05	0	8.20923703351011e-05	0.00149408114009884	0	9.85108444021213e-05	0.000377624903541465	0	1.64184740670202e-05	0	0	0.00469568358316778	0.00433447715369334	0.000508972696077627	0	Human Settlements
KT1BRWINT	0.000158093393672312	1.9761674209039e-05	0.00134379384621465	0	0	0	0	0	0	0	0	9.8808371045195e-05	0.00120546212675138	0	0.000217378416299429	0	5.9285022627117e-05	0	0	0	0	0	0	0	0	0	0.000829990316779638	0	1.9761674209039e-05	0.000276663438926546	0	1.9761674209039e-05	0	0	0.000691658597316365	0.000632373574689248	0.00189712072406774	1.9761674209039e-05	Human Settlements
KT1KCWINT	0.000131052056789225	1.45613396432472e-05	0.000698944302875865	4.36840189297415e-05	0	0	0	0	1.45613396432472e-05	0	0	2.91226792864944e-05	0.000320349472151438	0	0.000262104113578449	0	8.73680378594831e-05	0	0	4.36840189297415e-05	0	0	0	0	0	0	0.000728066982162359	0	2.91226792864944e-05	4.36840189297415e-05	0	0	0	0	0.0007717510010921	0.000480524208227157	0.000888241718238078	0.000305788132508191	Human Settlements
KT1LRWINT	0.00017627012417251	4.89639233812527e-05	0.00242861059971013	9.79278467625054e-06	0	9.79278467625054e-06	0	0	0	0	0	0.000117513416115006	0.000705080496690039	0	0.000254612401582514	9.79278467625054e-06	7.83422774100043e-05	0	0	9.79278467625054e-06	0	0	0	9.79278467625054e-06	0	0	0.000920521759567551	0	0	0.000146891770143758	0	0	0	0	0.00166477339496259	0.000391711387050022	0.00213482705942262	8.81350620862548e-05	Human Settlements
KT1TLWINT	0.000382073128796852	2.54715419197901e-05	0.00234338185662069	2.54715419197901e-05	0	1.27357709598951e-05	0	0	0	0	0	8.91503967192654e-05	0.00137546326366867	0	0.000292922732077586	0	0.000471223525516117	0	0	2.54715419197901e-05	0	0	0	0	0	0	0.00134999172174888	0	3.82073128796852e-05	0.000547638151275488	0	0	0	0	0.000483959296476012	0.000433016212636432	0.002063194895503	0	Human Settlements
MOS1BRWINT	0.000542615678880041	5.42615678880041e-05	0.00153288929283612	1.3565391972001e-05	1.3565391972001e-05	1.3565391972001e-05	0	0	0	0	0	0.000366265583244028	0.00116662370959209	0	0.000624008030712047	0	0.000230611663524018	0	0	8.13923518320062e-05	0	0	0	0	0	0	0.00638929961881249	0	0.000108523135776008	0.000868185086208066	0	1.3565391972001e-05	0	0	0.00241463977101618	0.00146506233297611	0.0026045552586242	0	Human Settlements
MOS1KCWINT	0.00064305618405697	2.38168957058137e-05	0.000893133588968014	0.000309619644175578	2.38168957058137e-05	1.19084478529069e-05	0	0	1.19084478529069e-05	0	0	0.000309619644175578	0.000535880153380808	0	0.00045252101841046	1.19084478529069e-05	0.000119084478529069	0	0	4.76337914116274e-05	0	0	0	0	0	0	0.00423940743563484	0	0.000142901374234882	0.0013932883987901	0	0	0	0	0.00358444280372496	0.000464429466263367	0.00668063924548074	0	Human Settlements
MOS1LRWINT	0.00135380524660333	8.91728006744706e-05	0.00059178313174876	0.000875514770258439	0.000121599273647005	8.10661824313369e-06	0	2.43198547294011e-05	0	0	0	0.000697169168909498	0.00227795972632057	0	0.000364797820941016	0	0.000413437530399818	0	0	7.29595641882033e-05	0	0	0	8.10661824313369e-06	0	0	0.00774992704043581	0	2.43198547294011e-05	0.00518823567560556	0	0	0	0	0.00320211420603781	0.00143487142903466	0.00546386069587211	0	Human Settlements
MOS1TLWINT	0.00113037612353917	0	0.00165910043938814	1.82318729603092e-05	3.64637459206184e-05	8.20434283213915e-05	0	9.11593648015461e-06	0	0	0	0.000154970920162628	0.00320880964101442	0	0.000464912760487885	0	0.000164086856642783	0	0	6.38115553610822e-05	0	0	0	1.82318729603092e-05	0	0	0.00370107021094277	0	3.64637459206184e-05	0.00106656456817809	0	0	0	0	0.00275301281700669	0.00092982552097577	0.00213312913635618	0	Human Settlements
QB1BRWINT	0.00046279631819818	0	0.000102843626266262	1.02843626266262e-05	0	1.02843626266262e-05	0	0	5.14218131331311e-05	0	0	0.000637630482850825	0.000575924307091068	0	0.000431943230318301	2.05687252532524e-05	0.000205687252532524	0	5.14218131331311e-05	0.000185118527279272	0	0	0	0.000339383966678665	0	0	0.00059649303234432	0	3.08530878798786e-05	0.000586208669717694	0	1.02843626266262e-05	0	0	0.0010592893505425	0.000730189746490461	0.000503933768704685	0	Human Settlements
QB1KCWINT	0.000238670604731645	0	0.000278449038853586	9.9446085304852e-06	0	0	0	0	0	0	0	0.000159113736487763	0.000636454945951053	0	0.000636454945951053	0	0.000457451992402319	0	0	2.98338255914556e-05	0	0	0	9.9446085304852e-06	0	0	0.00171047266724345	0	0	0.000914903984804638	0	9.9446085304852e-06	0	0	0.00219775848523723	0.00112374076394483	2.98338255914556e-05	0	Human Settlements
QB1LRWINT	0.00015599754860995	0	0.000557134102178394	1.11426820435679e-05	0	0	0	0	1.11426820435679e-05	0	0	0.00190539862945011	0.000969413337790406	0	0.000323137779263469	0	0.000924842609616135	0	0	0.000311995097219901	0	0	0	0	0	0	0.000501420691960555	0	0.000256281687002061	0.00079113042509332	0	1.11426820435679e-05	0	0	0.00410050699203298	0.00135940720931528	5.57134102178394e-05	0	Human Settlements
QB1TLWINT	0.00219091901841334	6.86808469722049e-06	0.000302195726677701	1.3736169394441e-05	0	0	0	0	6.86808469722049e-06	0	0	0.00227333603477998	0.000837906333060899	0	0.000302195726677701	2.06042540916615e-05	0.000686808469722049	0	0.000322799980769363	3.43404234861024e-05	0	0	0	1.3736169394441e-05	0	1.3736169394441e-05	0.00123625524549969	0	4.80765928805434e-05	0.000741753147299812	0	0	0	0	0.00279531047176874	0.00100274036579419	0.000528842521685977	0	Human Settlements
STW1BRWINT	0.00190492937108024	0	0.000952464685540121	0	0	7.3266514272317e-05	0	0	0	0	0	0.000102573119981244	0.00263759451380341	0	0.000351679268507122	5.86132114178536e-05	0.000337025965652658	0	0	0.000278412754234805	0	0	0	0	0	0	0.00241779497098646	0	8.79198171267804e-05	0.00970048648965477	0	0	0	0	0.00304788699372839	0.00215403551960612	0.00572944141609519	0	Human Settlements
STW1KCWINT	0.000589288547403731	0	0.00100859001382562	1.13324720654564e-05	0	1.13324720654564e-05	0	1.13324720654564e-05	0	0	0	0.000113324720654564	0.00130323428752748	0	0.000566623603272818	5.66623603272818e-05	0.00012465719272002	0	3.39974161963691e-05	0	0	0	0	0	0	1.13324720654564e-05	0.000668615851861925	0	0.000147322136850933	0.0152761723442352	0	0	0	0	0.00177919811427665	0.000793273044581945	0.00133723170372385	0	Human Settlements
STW1LRWINT	0.00061519222235669	4.034047359716e-05	0.0014119165759006	0	0	6.051071039574e-05	0	9.07660655936101e-05	0	0	0	0.00039331961757231	0.00199685344305942	0	0.0005042559199645	0.00012102142079148	0.00041348985437089	0	0.00036306426237444	1.008511839929e-05	0	0	0	0	0	3.025535519787e-05	0.00214813021904877	0	6.051071039574e-05	0.00609141151317116	0	0	0	0	0.00317681229577635	0.00179515107507362	0.00415506878050748	0	Human Settlements
STW1TLWINT	0.000330157532308273	0	0.000624941043297802	4.71653617583247e-05	0	3.53740213187435e-05	0	1.17913404395812e-05	0	0	0	0.000365531553627016	0.00182765776813508	0	0.000471653617583247	0	0.000377322894066597	0	1.17913404395812e-05	1.17913404395812e-05	0	0	0	0	0	0	0.00195736251297047	0	0	0.0021931893217621	0	0	0	0	0.00199273653428922	0.00110838600132063	0.00280633902462032	0	Human Settlements
SW1BRWINT	0.00124927244076603	0	9.93739441518434e-05	0	0	2.83925554719553e-05	0	0	0	0	0	0.00843258897517071	0.000880169219630613	0	0.000340710665663463	5.67851109439105e-05	0.000227140443775642	0	4.25888332079329e-05	0.000212944166039664	0	0	0	0	0	0	0.00492610837438424	0	0	0.000965346886046479	0	0.000113570221887821	0	0	0.0014622166068057	0.000354906943399441	0.000269729276983575	0	Human Settlements
SW1KCWINT	0.00108548168249661	0.000128543883453546	0.00022852245947297	4.28479611511819e-05	0	0	0	0	0	0	0	0.00875526672855817	0.000128543883453546	0	0.000171391844604728	8.56959223023638e-05	7.14132685853031e-05	0	0.000585588802399486	0	0	0	0	0	0	0	0.000956937799043062	0	1.42826537170606e-05	0.00022852245947297	0	0	0	0	0.0010140684139113	0.000271370420624152	0.000214239805755909	0	Human Settlements
SW1LRWINT	0.000705819513683996	0.000120815952792756	0.00126538813714518	0.000235273171227999	0	6.35873435751348e-06	0	0	6.35873435751348e-06	0	0	0.0463869671380608	0.00058500356089124	0	0.000222555702512972	0.000139892155865297	0.000387882795808322	0	6.35873435751348e-06	1.90762030725404e-05	0	0	0	0	0	0.000120815952792756	0.00261979855529555	0	5.72286092176213e-05	0.000852070403906806	0	0	0	0	0.00209202360362194	0.000476905076813511	0.000604079763963781	0	Human Settlements
SW1TLWINT	0.00151620666249416	7.05212401160074e-05	0.000361421355594538	0.000343791045565536	2.64454650435028e-05	2.64454650435028e-05	0	0	0	0	0	0.00691108153136873	0.00177184615791469	0	0.000273269805449529	0	0.000511278990841054	0	0.000132227325217514	0.000105781860174011	0	0	0	0	0	8.81515501450093e-06	0.0159466154212322	0	8.81515501450093e-06	0.00147213088742166	0	0	0	0	0.00414312285681544	0.00166606429774068	0.000405497130667043	8.81515501450093e-06	Human Settlements
TH1BRWINT	0.00450116646082064	2.74461369562234e-05	0.000219569095649787	0	0	0	0	1.37230684781117e-05	0	0	0	0.0044599972553863	0.00341704405104981	0	0.00203101413476053	1.37230684781117e-05	0.000109784547824894	0	0	0.000301907506518458	0	0	0	0	0	0	0.0181556195965418	0	0.000137230684781117	0.00264855221627556	0	5.48922739124468e-05	0	0	0.0029367366543159	0.00396596679017428	0.000288184438040346	2.74461369562234e-05	Human Settlements
TH1KCWINT	0.00174349249074725	0	7.64689688924235e-05	6.11751751139388e-05	0	1.52937937784847e-05	0	0	0	0	0	0.0117915150032117	0.000948215214266051	0	0.0020952497476524	0	0.00025999449423424	0	0	0.000351757256905148	0	0	0	0	0	0	0.0163949469305356	0	0.00200348698498149	0.00122350350227878	0	4.58813813354541e-05	0	0	0.00136114764628514	0.00781512862080568	0.000321169669348179	0	Human Settlements
TH1LRWINT	0.00101336224165154	0	0.000106049536917022	0.000282798765112059	0	1.17832818796691e-05	0	1.17832818796691e-05	2.35665637593383e-05	0	0	0.00136686069804162	0.000553814248344449	0	0.00140221054368063	0	0.000188532510074706	0	0	5.89164093983456e-05	0	0	0	1.17832818796691e-05	0	0	0.00340536846322438	0	0.000235665637593382	0.000318148610751066	0	1.17832818796691e-05	0	0	0.000848396295336177	0.00108406193292956	0.000483114557066434	0	Human Settlements
TH1TLWINT	0.00260155708008942	0	0.000260155708008942	0	0	9.63539659292376e-06	0	0.000163801742079704	0	0	0	0.00307369151314268	0.000770831727433901	0	0.000857550296770215	0	0.000183072535265552	0	0	0.000491405226239112	0	0	0	1.92707931858475e-05	0	0	0.0116973714638095	0	6.74477761504664e-05	0.0025148385107531	0	0.000183072535265552	0	0	0.00180181916287674	0.0015802050412395	0.000269791104601865	0	Human Settlements
TK1BRWINT	0.00603257111519111	2.38441546054985e-05	0.000584181787834712	0.00015498700493574	0	1.19220773027492e-05	0	0	1.19220773027492e-05	0	0	0.00212212975988936	0.000667636328953957	0	0.00211020768258661	0.000238441546054985	0.000262285700660483	0	3.57662319082477e-05	4.76883092109969e-05	0	0	0	0	0	0	0.0015260258947519	0	2.38441546054985e-05	0.00324280502634779	0	0	0	0	0.00220558430100861	0.00170485705429314	0.00990724623858461	2.38441546054985e-05	Human Settlements
TK1KCWINT	0.000655370625742412	0	0.000450567305197908	0	0	0	0	0	0	0	0	0.005365846998266	0.00182957633019757	0	0.000914788165098783	4.09606641089008e-05	0.000314031758168239	0	0	0	0	0	0	1.36535547029669e-05	0	0.000109228437623735	0.00105132371212845	0	0	0.00141996968910856	0	0	0	0	0.00117420570445515	0.000791906172772081	0.00860173946286916	9.55748829207684e-05	Human Settlements
TK1LRWINT	0.000646894204671701	2.81258349857261e-05	4.21887524785892e-05	0	2.81258349857261e-05	0	0	0	1.40629174928631e-05	0	0	0.00203912303646515	0.000379698772307303	0	0.000562516699714523	2.81258349857261e-05	2.81258349857261e-05	0	0	0.000253132514871535	0	0	0	0	0	0	0.00101253005948614	0	0.000295321267350124	0.00566735574962382	0	0	0	0	0.00161723551167925	0.00531578281230224	0.0082268067333249	0	Human Settlements
TK1TLWINT	0.00559435103187298	0.000124839074630359	0.000499356298521437	0	7.80244216439746e-06	2.34073264931924e-05	0	2.34073264931924e-05	7.80244216439746e-06	0	0	0.00200522763625015	0.00127960051496118	0	0.00106113213435805	3.12097686575898e-05	0.00036671478172668	0	0.000117036632465962	3.90122108219873e-05	0	0	0	7.80244216439746e-06	0	3.12097686575898e-05	0.00117816876682402	0	0	0.00203643740490774	0	3.90122108219873e-05	0	0	0.00243436195529201	0.0015292786642219	0.0220106893457652	0	Human Settlements
TMa1BRWINT	0.00120031498711764	0.000397556556242785	0.00110857116644623	0.000107034457449981	0	2.2935955167853e-05	0	0	5.35172287249903e-05	0	0	0.000596334834364177	0.00450309253128847	0	0.00118502435033907	3.05812735571373e-05	0.000221714233289245	0	0	7.64531838928432e-05	7.64531838928432e-06	0	0	0	0	0	0.00291286630631733	0	0.000175842322953539	0.000428137829799922	0	3.82265919464216e-05	0	0	0.015030695953333	0.00620799853209887	0.00337158540967439	2.2935955167853e-05	Human Settlements
